Assignment Number,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer
1,1,"Which of these is not a step in natural selection?","variation","underpopulation","struggle for existence","survival of the fittest","underpopulation"
1,2,"Which of these is not a characteristic of fitness?","Fitness is environment-specific.","Fitness is species-specific.","Higher reproductive rate means higher fitness.","Fitness should be measured across several generations.","Higher reproductive rate means higher fitness."
1,3,"Ecology is the scientific study of ______ that determine the distribution and abundance of organisms.","statics","interactions","dynamics","habitat","interactions"
1,4,"Which of these is not a characteristic of fitness?","Fitness is environment-specific.","Fitness is species-specific.","Fitness works on traits such as size and speed.","Fitness should be measured across several generations.","Fitness works on traits such as size and speed."
1,5,"In the Greek word root of Ecology, Oikos refers to","household","preservation","environment","study","household"
1,6,"'Enquiry into plants' is a book written by","Theophrastus","Linnaeus","Malthus","Humboldt","Theophrastus"
1,7,"In the Greek word root of Ecology, logos refers to","household","preservation","environment","study","study"
1,8,"Which of these is not a kind of selection","directional","stochastic","disruptive","stabilising","stochastic"
1,9,"Who amongst these is considered the father of Biogeography?","Theophrastus","Linnaeus","Malthus","Humboldt","Humboldt"
1,10,"Ecology is the scientific study of interactions among organisms and their ______","habitat","niche","environment","population","environment"
2,1,"Hierarchy emerges almost inevitably through a wide variety of evolutionary processes, for the simple reason that hierarchical structures are ______","perfect","imperfect","stable","unstable","stable"
2,2,"The mitochondrion is a/an","Sub-cellular organelle","Cell","Tissue","Organ","Sub-cellular organelle"
2,3,"The hierarchical system was given by","Simon","Watson","Hutchinson","Humboldt","Simon"
2,4,"There is more biodiversity in areas with","less competition, less predation","less competition, more predation","more competition, more predation","more competition, less predation","more competition, more predation"
2,5,"'groups of actually or potentially interbreeding natural populations, which are reproductively isolated from other such groups' is a definition of","cells","species","ecosystems","biomes","species"
2,6,"'the diversity that exists within an ecosystem' is","alpha (a) biodiversity","beta (ß) biodiversity","gamma (?) biodiversity","delta (d) biodiversity","alpha (a) biodiversity"
2,7,"'the diversity that exists among different geographies' is","alpha (a) biodiversity","beta (ß) biodiversity","gamma (?) biodiversity","delta (d) biodiversity","gamma (?) biodiversity"
2,8,"The emergent principle can be stated as","Whole < sum of parts","Whole = sum of parts","Whole > sum of parts","None of these","Whole > sum of parts"
2,9,"The laboratory approach to Ecology uses","equations","models","observations","experiments","experiments"
2,10,"For more biodiversity, the level of disturbance should be","less","intermediate","more","none of these","intermediate"
3,1,"Egrets with buffaloes are an example of","colony","commensalism","protocooperation","allelopathy","commensalism"
3,2,"I observe a monkey take a tick out of another monkey's head and eat it. In the social context, this behaviour would be called","tick hunting","auto grooming","allo grooming","foraging","allo grooming"
3,3,"Birds on giraffe are an example of","colony","commensalism","protocooperation","allelopathy","protocooperation"
3,4,"Harmonious interactions occur where","at least one participant is benefited","at least one participant is unharmed","both participants are benefitted","both participants are unharmed","both participants are unharmed"
3,5,"I observe a bird take a tick out of another bird's head and eat it. In the social context, this behaviour would be called","tick hunting","auto grooming","allo grooming","foraging","allo grooming"
3,6,"The interaction between exotic shrubs and trees through the action of seed predators is an example of","infraspecific competition","apparent competition","disguised competition","harmonious competition","apparent competition"
3,7,"Trampling of grass due to the movement of animals is an example of","mutualism","amensalism","commensalism","protocooperation","amensalism"
3,8,"The scientific study of animal behaviour is called","behaviourism","ecology","ethology","prey-predator dynamics","ethology"
3,9,"An inventory of behaviours exhibited by an animal during a behaviour exercise is called","ecogram","ethogram","behaviourogram","animalogram","ethogram"
3,10,"Hamilton's rule can be stated as","$rB < C$","$rB > C$","$rB = C$","$rB + C = 0$","$rB > C$"
4,1,"If we all became vegetarians, we'll be able to support our large populations. This can be explained through","10% rule","1% rule","trophic cascade","biodiversity","10% rule"
4,2,"Trees -> Birds -> Parasites -> Hyperparasites represents","upright pyramid of numbers","inverted pyramid of numbers","spindle pyramid of numbers","dumb-bell pyramid of numbers","inverted pyramid of numbers"
4,3,"Net primary productivity is given by","$APAR * LUE$","$APAR + LUE$","$APAR - LUE$","$APAR / LUE$","$APAR * LUE$"
4,4,"At the compensation point,","photosynthesis = respiration","photosynthesis < respiration","photosynthesis > respiration","photosynthesis = 0","photosynthesis = respiration"
4,5,"Consider the food chain: Grass -> Grasshopper -> Frog -> Snake -> Hawk. As we move up the food chain,","available energy decreases","available energy increases","available energy remains same","available energy is zero everywhere","available energy decreases"
4,6,"Consider the food chain: Grass -> Grasshopper -> Frog -> Snake -> Hawk. In this food chain,","more number of hawks than grasshoppers can be supported","more number of grasshoppers than hawks can be supported","equal number of hawks and grasshoppers can be supported","none of these","more number of grasshoppers than hawks can be supported"
4,7,"Tree -> Frugivorous birds -> Hawk represents","upright pyramid of numbers","inverted pyramid of numbers","spindle pyramid of numbers","dumb-bell pyramid of numbers","spindle pyramid of numbers"
4,8,"Consider the food chain: Grass -> Grasshopper -> Frog -> Snake -> Hawk. In this food chain,","hawk is producer","hawk is consumer and carnivore","hawk is consumer and herbivore","hawk is decomposer","hawk is consumer and carnivore"
4,9,"Glacial lakes are typical examples of","eutrophic lakes","hypereutrophic lakes","oligotrophic lakes","mesotrophic lakes","oligotrophic lakes"
4,10,"Consider the food chain: Grass -> Grasshopper -> Frog -> Snake -> Hawk. In this food chain,","frog is producer","frog is consumer and carnivore","frog is consumer and herbivore","frog is decomposer","frog is consumer and carnivore"
5,1,"The juvenile mortality rate is the annual number of deaths of juveniles per","100 births","1000 births","100 live births","1000 live births","1000 live births"
5,2,"Pan traps are used for sampling","bees","butterflies","non-pollinator insects","pollinator insects","pollinator insects"
5,3,"______ employs a simple rule of selecting every kth unit starting with a number chosen at random from 1 to k as the random start.","Simple random sampling","Systematic sampling","Stratified sampling","Multistage sampling","Systematic sampling"
5,4,"Which of these is not a measure of absolute population density?","total count","pelt count","capture-recapture method","removal method","pelt count"
5,5,"The logistic growth equation, when plotted, appears","I shaped","J shaped","S shaped","O shaped","S shaped"
5,6,"A sampling procedure such that each possible combination of sampling units out of the population has the same chance of being selected is referred to as","Simple random sampling","Systematic sampling","Stratified sampling","Multistage sampling","Simple random sampling"
5,7,"The minimum replacement level fertility for a population to grow should be greater than","1","2","3","4","2"
5,8,"Cover board surveys are typically used for sampling","herpetofauna","fishes","large mammals","carnivores","herpetofauna"
5,9,"Which of these is true?","Physiological longevity > Ecological longevity","Physiological longevity = Ecological longevity","Physiological longevity < Ecological longevity","a or b","a or b"
5,10,"______ is how close the measured values are to the correct value.","Accuracy","Precision","Bias","Variance","Accuracy"
6,1,"Importance value can be written as","Relative density + Relative frequency X Relative dominance","Relative density X Relative frequency + Relative dominance","Relative density + Relative frequency + Relative dominance","Relative density X Relative frequency X Relative dominance","Relative density + Relative frequency + Relative dominance"
6,2,"A species found most frequently in a particular community, but also present occasionally in others is called","accidental species","indifferent species","selective species","exclusive species","selective species"
6,3,"When compared to generalist species, specialist species have","narrower niches","broader niches","same-size niches","none of these","narrower niches"
6,4,"A climax caused by wildfires is an example of","climatic climax","edaphic climax","disclimax","catastrophic climax","catastrophic climax"
6,5,"Lithosere is an example of","hydrosere","xerosere","psammosere","halosere","xerosere"
6,6,"Which of these is correct?","Fundamental niche > Realised niche","Fundamental niche = Realised niche","Fundamental niche < Realised niche","a or b","a or b"
6,7,"Importance value varies from","0 to 10","0 to 50","0 to 100","0 to 300","0 to 300"
6,8,"The climax near Tindni village is being controlled by disturbance by cattle. This is an example of","climatic climax","edaphic climax","disclimax","catastrophic climax","disclimax"
6,9,"Which of these is not a characteristic of pioneer species","ability to grow on bare rocks","ability to tolerate extreme temperatures","large size","short life span","large size"
6,10,"Which of these depicts correctly the lithosere primary succession?","Rock -> Crustose lichen -> Foliose lichen -> Moss -> Herbaceous stage -> Shrub -> Woodland -> Climax","Rock -> Foliose lichen -> Crustose lichen -> Moss -> Herbaceous stage -> Shrub -> Woodland -> Climax","Moss -> Crustose lichen -> Foliose lichen -> Rock -> Herbaceous stage -> Shrub -> Woodland -> Climax","Rock -> Crustose lichen -> Foliose lichen -> Moss -> Woodland -> Shrub -> Herbaceous stage -> Climax","Rock -> Crustose lichen -> Foliose lichen -> Moss -> Herbaceous stage -> Shrub -> Woodland -> Climax"
7,1,"'The geographical distribution of a species will be controlled by that environmental factor for which the organism has the narrowest range of tolerance.' This is the statement for","Liebig's law of the minimum","Liebig's law of the maximum","Shelford's law of tolerance","Shelford's law of intolerance","Shelford's law of tolerance"
7,2,"Transplantation experiments are used to find","potential range","effective range","actual range","economic range","potential range"
7,3,"Good climate is a","chemical factor","demographic factor","push factor","pull factor","pull factor"
7,4,"'The rate of any biological process is limited by that factor in least amount relative to requirement, so there is a single limiting factor.' This is the statement for","Liebig's law of the minimum","Liebig's law of the maximum","Shelford's law of tolerance","Shelford's law of intolerance","Liebig's law of the minimum"
7,5,"I tried growing vegetables under my teak plantation, but the vegetable plants died out. I should be concerned about","autophagy","allelophagy","autopathy","allelopathy","allelopathy"
7,6,"'Quick movement over large distances, often across unsuitable terrain' is a description of","diffusion","secular dispersal","jump dispersal","drifting","jump dispersal"
7,7,"The movement of individuals away from their place of birth or hatching or seed production into a new habitat or area to survive and reproduce is called","translocation","migration","dispersal","drifting","dispersal"
7,8,"The movement of lions across the Gir landscape is an example of","diffusion","secular dispersal","jump dispersal","drifting","diffusion"
7,9,"Which of these is not a physical factor of habitat?","soil","moisture","predators","temperature","predators"
7,10,"Scarcity of food is a","chemical factor","demographic factor","push factor","pull factor","push factor"
8,1,"The 'subset of physical and biotic environmental factors that permit an animal (or plant) to survive and reproduce' is the definition of","habitat","ecosystem","biome","biosphere","habitat"
8,2,"According to Leopold, which of these is not a tool of habitat management?","fire","gun","cattle","sickle","sickle"
8,3,"Zoo is an example of","in-situ conservation","ex-situ conservation","in-situ preservation","ex-situ preservation","ex-situ conservation"
8,4,"The acronym HIPPO does not include","habitat loss","invasive species","pollination","pollution","pollination"
8,5,"We prefer those areas for the creation of a conservation reserve where the level of threat is","very high","medium","very low","non-existent","medium"
8,6,"Which of these is a deterministic factor?","environmental variation","forest fire","death rate","diseases","death rate"
8,7,"Captive breeding is an example of","in-situ conservation","ex-situ conservation","in-situ preservation","ex-situ preservation","ex-situ conservation"
8,8,"Which of these is a stochastic factor?","birth rate","death rate","population structure","environmental fluctuation","environmental fluctuation"
8,9,"Which of these correctly represents the process of habitat fragmentation and loss?","Original forest -> Dissection -> Perforation -> Fragmentation -> Attrition","Original forest -> Dissection -> Attrition -> Fragmentation -> Perforation","Original forest -> Perforation -> Dissection -> Attrition -> Fragmentation","Original forest -> Dissection -> Fragmentation -> Perforation -> Attrition","Original forest -> Dissection -> Perforation -> Fragmentation -> Attrition"
8,10,"The acronym HIPPO does not include","habitat loss","habitat enhancement","invasive species","human over-population","habitat enhancement"
9,1,"According to Malthusian model,","Population grows in geometric progression, food supply increases in arithmetic progression","Population grows in geometric progression, food supply increases in geometric progression","Population grows in arithmetic progression, food supply increases in arithmetic progression","Population grows in arithmetic progression, food supply increases in geometric progression","Population grows in geometric progression, food supply increases in arithmetic progression"
9,2,"Which of these is not a pillar of sustainability?","economic sustainability","environmental sustainability","trans-boundary sustainability","social sustainability","trans-boundary sustainability"
9,3,"The quantum of human impacts is given by","I=P*A*T","I=P+A+T","I=P+A-T","I=P-(A+T)","I=P*A*T"
9,4,"Which of these is a positive check according to Malthus?","late marriage","war","celibacy","moral restraint","war"
9,5,"Which of these is a pillar of sustainability","social sustainability","industrial sustainability","agricultural sustainability","trans-boundary sustainability","social sustainability"
9,6,"______ is used to identify which potential impacts are relevant to assess. (Fill in the blank)","screening","scoping","reporting","review","scoping"
9,7,"______ determines which projects or developments require a full or partial impact assessment study. (Fill in the blank)","screening","scoping","reporting","review","screening"
9,8,"The demographic transition sees a society move from","high birth rate, low death rate to low birth rate, low death rate","low birth rate, high death rate to low birth rate, low death rate","high birth rate, high death rate to low birth rate, low death rate","high birth rate, high death rate to low birth rate, high death rate","high birth rate, high death rate to low birth rate, low death rate"
9,9,"The book 'An Essay on the Principle of Population' was written by","Darwin","Malthus","Spencer","Owens","Malthus"
9,10,"Which of these is a preventive check according to Malthus?","foresight","vice","misery","flood","foresight"
10,1,"'Any changes in natural or human systems that inadvertently increase vulnerability to climatic stimuli; an adaptation that does not succeed in reducing vulnerability but increases it instead' is a definition for","adaptation","mitigation","maladaptation","malmitigation","maladaptation"
10,2,"Macrodebris in the context of plastic debris has fragments of size",">20 mm","5-20 mm","<5 mm","<1 mm",">20 mm"
10,3,"Which of these is not a climatic forcing for Earth?","changes in plate tectonics","changes in Earth's orbit","changes in Sun's orbit","changes in Sun's strength","changes in Sun's orbit"
10,4,"'The ability of a system to adjust to climate change (including climate variability and extremes) to moderate potential damages, to take advantage of opportunities, or to cope with the consequences' is a definition for","adaptive response","adaptive capacity","mitigative response","mitigative capacity","adaptive capacity"
10,5,"Which of these is not a climatic forcing for Earth?","changes in plate tectonics","changes in Earth's orbit","changes in Moon's orbit","changes in Sun's strength","changes in Moon's orbit"
10,6,"Which of these is not a principle of ecological restoration?","ecological integrity","long-term sustainability","benefits and engages scientists","informed by past and future","benefits and engages scientists"
10,7,"Mesodebris in the context of plastic debris has fragments of size",">20 mm","5-20 mm","<5 mm","<1 mm","5-20 mm"
10,8,"The government came up with a regulation that incandescent bulbs be replaced by LED bulbs, so that electricity consumption and release of carbon dioxide from power plants is reduced. In the context of climate change, such an action would be called","adaptation","mitigation","deceleration","maladaptation","mitigation"
10,9,"Which of these is not a principle of ecological restoration?","ecological integrity","short-term sustainability","benefits and engages society","informed by past and future","short-term sustainability"
10,10,"Because of climate change, Mudumalai Tiger Reserve is suffering from frequent droughts. The management has built several artificial water holes for animals, and fills them up regularly with tankers. In the context of climate change, such an action would be called","adaptation","mitigation","deceleration","maladaptation","adaptation"
11,1,"Ludwig's ratchet predicts","decreasing harvesting rate","constant harvesting rate","increasing harvesting rate","fluctuating harvesting rate","increasing harvesting rate"
11,2,"Which of these is correct?","$R+G=M+F$","$R+M=G+F$","$R+F=M+G$","$R+G+M+F=0$","$R+G=M+F$"
11,3,"A deciduous forest in Madhya Pradesh was converted to a mine. After the mining operations were over, the pits were filled up with soil and species of deciduous forest planted again. This is an example of","recovery","restoration","enhancement","replacement","restoration"
11,4,"A deciduous forest in Madhya Pradesh was converted to a mine. After the mining operations were over, the pits were filled up with water and a lake was created. It is now visited by several migratory birds. This is an example of","recovery","restoration","enhancement","replacement","replacement"
11,5,"A root zone treatment plant is an example of","phytoremediation","biological control","biomagnification","bioaccumulation","phytoremediation"
11,6,"A pest population is called controlled when","it is not increasing","it is decreasing","it is not causing any economic damage","it is not causing excessive economic damage","it is not causing excessive economic damage"
11,7,"Which of these is not an impact of toxic chemicals?","lethal effects","sub-lethal effects","reduction of existing stressors","reduced fecundity","reduction of existing stressors"
11,8,"Which of these is correct?","The maximum sustainable yield is near the beginning of the sigmoidal curve.","The maximum sustainable yield is near the mid-point of the sigmoidal curve.","The maximum sustainable yield is near the end of the sigmoidal curve.","None of these.","The maximum sustainable yield is near the mid-point of the sigmoidal curve."
11,9,"The impact of El Nino on fishery collapse in Peru is explained by","match hypothesis","mismatch hypothesis","match-mismatch hypothesis","none of these","match-mismatch hypothesis"
11,10,"A pest population is called uncontrolled when","it is increasing","it is not decreasing","it is causing some economic damage","it is causing excessive economic damage","it is causing excessive economic damage"
12,1,"At the compensation point,","photosynthesis = respiration","photosynthesis < respiration","photosynthesis > respiration","photosynthesis = 0","photosynthesis = respiration"
12,2,"Birds on giraffe are an example of","colony","commensalism","protocooperation","allelopathy","protocooperation"
12,3,"Because of climate change, Mudumalai Tiger Reserve is suffering from frequent droughts. The management has built several artificial water holes for animals, and fills them up regularly with tankers. In the context of climate change, such an action would be called","adaptation","mitigation","deceleration","maladaptation","adaptation"
12,4,"Which of these is a stochastic factor?","birth rate","death rate","population structure","environmental fluctuation","environmental fluctuation"
12,5,"The mitochondrion is a / an","Sub-cellular organelle","Cell","Tissue","Organ","Sub-cellular organelle"
12,6,"Which of these is correct?","Fundamental niche > Realised niche","Fundamental niche = Realised niche","Fundamental niche < Realised niche","a or b","a or b"
12,7,"The movement of individuals away from their place of birth or hatching or seed production into a new habitat or area to survive and reproduce is called","translocation","migration","dispersal","drifting","dispersal"
12,8,"The book 'An Essay on the Principle of Population' was written by","Darwin","Malthus","Spencer","Owens","Malthus"
12,9,"Which of these is not a step in natural selection?","variation","underpopulation","struggle for existence","survival of the fittest","underpopulation"
12,10,"The logistic growth equation, when plotted, appears","I shaped","J shaped","S shaped","O shaped","S shaped"